# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr 27 14:20:48 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbperstr < 10
# CONSTRAINT:  and pl_radestr > 4
# CONSTRAINT:  and ttv_flag = 0
# CONSTRAINT:  and pl_trandepstr > 0.5
# CONSTRAINT:  and pl_trandurstr < 4
# CONSTRAINT:  and sy_vmagstr < 12.9)
#
# COLUMN pl_name:        Planet Name
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tsystemref:  Time Reference Frame and Standard
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_refname:     System Parameter Reference
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN elat:           Ecliptic Latitude [deg]
# COLUMN elon:           Ecliptic Longitude [deg]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_jmag:        J (2MASS) Magnitude
# COLUMN sy_hmag:        H (2MASS) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_umag:        u (Sloan) Magnitude
# COLUMN sy_gmag:        g (Sloan) Magnitude
# COLUMN sy_rmag:        r (Sloan) Magnitude
# COLUMN sy_imag:        i (Sloan) Magnitude
# COLUMN sy_zmag:        z (Sloan) Magnitude
# COLUMN sy_w1mag:       W1 (WISE) Magnitude
# COLUMN sy_w2mag:       W2 (WISE) Magnitude
# COLUMN sy_w3mag:       W3 (WISE) Magnitude
# COLUMN sy_w4mag:       W4 (WISE) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_icmag:       I (Cousins) Magnitude
# COLUMN sy_tmag:        TESS Magnitude
# COLUMN sy_kepmag:      Kepler Magnitude
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,rastr,ra,decstr,dec,default_flag,pl_refname,pl_orbper,pl_rade,pl_radj,pl_orbeccen,pl_orbincl,pl_tranmid,pl_tsystemref,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_refname,st_teff,st_rad,st_logg,sy_refname,glat,glon,elat,elon,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_icmag,sy_tmag,sy_kepmag,rowupdate,pl_pubdate,releasedate
KELT-9 b,20h31m26.38s,307.8598998,+39d56m20.10s,39.9389161,1,<a refstr=GAUDI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.546..514G/abstract target=ref>Gaudi et al. 2017</a>,1.48112350000,21.19621900,1.89100000,0.000000,86.79000,2457095.68572000,BJD-TDB,0,0.177000,0.67700000,3.9158400,3.153000,0.08228000,<a refstr=GAUDI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.546..514G/abstract target=ref>Gaudi et al. 2017</a>,10170.00,2.362000,4.093000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,0.24852,78.91292,56.07698,327.47480,7.5870000,7.5500000,7.4580000,7.4920000,7.4820000,,,,,,7.3990000,7.5090000,7.4360000,7.7040000,7.5767500,,7.5820400,,2017-06-02,2017-06,2017-06-05
KELT-20 b,19h38m38.74s,294.6614126,+31d13m09.12s,31.2192001,1,<a refstr=LUND_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..194L/abstract target=ref>Lund et al. 2017</a>,3.47410850000,19.51486900,1.74100000,,86.12000,2457503.12004900,BJD-TDB,0,0.503000,1.30900000,3.5755200,7.420000,0.11440000,<a refstr=LUND_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..194L/abstract target=ref>Lund et al. 2017</a>,8720.00,1.565000,4.290000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,4.62728,65.80767,51.69211,305.14070,7.6690000,7.5900000,7.4240000,7.4460000,7.4150000,,,,,,7.3630000,7.4410000,7.4500000,7.3990000,7.5749200,,7.5521600,,2019-12-02,2017-11,2017-11-02
KELT-20 b,19h38m38.74s,294.6614126,+31d13m09.12s,31.2192001,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,3.47410120000,21.29120000,1.89947691,,,2460337.98637500,BJD,0,,1.57480000,3.3170000,,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,8894.80,1.620000,4.380000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,4.62728,65.80767,51.69211,305.14070,7.6690000,7.5900000,7.4240000,7.4460000,7.4150000,,,,,,7.3630000,7.4410000,7.4500000,7.3990000,7.5749200,,7.5521600,,2024-04-07,2017-07,2024-04-07
HD 209458 b,22h03m10.81s,330.7950219,+18d53m03.27s,18.8842419,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,3.52475460000,16.37760000,1.46111412,,,2460552.87974000,BJD,0,,1.78030000,2.9580000,,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,6052.00,1.190000,4.342580,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-28.52705,76.75338,28.72408,340.35034,8.1680000,7.6500000,6.5910000,6.3660000,6.3080000,,,,,,6.3080000,6.1910000,6.3200000,6.2650000,7.5086600,,7.1274000,,2024-11-20,2017-07,2024-11-20
HD 189733 b,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,2.21857480391,13.30103550,1.18664095,,,2459770.41042100,BJD,0,,2.58542145,1.8233621,,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,5023.00,0.776484,4.580000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-3.92282,60.96214,42.17516,308.73661,8.6070000,7.6700000,6.0730000,5.5870000,5.5410000,,,,,,,,,,7.4143200,,6.8481000,,2023-03-28,2017-07,2023-03-28
HD 189733 b,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,0,<a refstr=ADDISON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019PASP..131k5003A/abstract target=ref>Addison et al. 2019</a>,2.21857700000,12.54287100,1.11900000,,85.69000,2458334.99089900,BJD-TDB,0,0.656000,2.26000000,1.8408000,8.730000,0.15040000,<a refstr=ADDISON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019PASP..131k5003A/abstract target=ref>Addison et al. 2019</a>,5050.00,0.765000,4.580000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-3.92282,60.96214,42.17516,308.73661,8.6070000,7.6700000,6.0730000,5.5870000,5.5410000,,,,,,,,,,7.4143200,,6.8481000,,2019-09-20,2019-11,2019-09-26
TOI-1431 b,21h04m48.89s,316.2036922,+55d35m16.88s,55.5880221,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,2.65023200000,15.93270000,1.42142273,,,2460554.58625000,BJD,0,,0.64490000,2.0300000,,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,7400.00,1.940000,4.110000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,5.72303,94.60687,65.85335,355.69334,8.3060000,8.0300000,7.5410000,7.4520000,7.4390000,,,,,,7.3350000,7.4300000,7.4460000,7.3710000,7.9756100,,7.7982400,,2024-11-20,2017-07,2024-11-20
TOI-1431 b,21h04m48.89s,316.2036922,+55d35m16.88s,55.5880221,1,<a refstr=ADDISON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..292A/abstract target=ref>Addison et al. 2021</a>,2.65023700000,16.70138124,1.49000000,0.002200,80.13000,2458739.17737000,BJD-TDB,0,0.881000,0.57970000,2.4890000,5.150000,0.07955000,<a refstr=ADDISON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..292A/abstract target=ref>Addison et al. 2021</a>,7690.00,1.920000,4.150000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,5.72303,94.60687,65.85335,355.69334,8.3060000,8.0300000,7.5410000,7.4520000,7.4390000,,,,,,7.3350000,7.4300000,7.4460000,7.3710000,7.9756100,,7.7982400,,2021-10-11,2021-12,2021-10-11
WASP-33 b,02h26m51.06s,36.7127375,+37d33m01.60s,37.5504441,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,1.21983821253,18.21793114,1.62529775,,,2459883.19878800,BJD,0,,1.21601096,2.8341804,,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,7398.50,1.602420,4.250000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-21.55688,143.09688,21.75524,46.81598,8.4120000,8.1400000,7.5810000,7.5160000,7.4680000,,,,,,7.3830000,7.4430000,7.4670000,7.2540000,8.0700400,,7.8761100,,2023-02-22,2017-07,2023-02-22
MASCARA-4 b,09h50m19.22s,147.5800667,-66d06m50.13s,-66.1139253,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,2.82406910000,17.78610000,1.58677229,,,2459358.68850600,BJD,0,,0.89700000,3.8080000,,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,8004.20,1.840000,4.200000,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,-9.40158,285.97627,-67.70663,205.70083,8.3980000,8.1910000,7.8370000,7.7850000,7.7500000,,,,,,7.6270000,7.6930000,7.7040000,7.6260000,8.1740100,,8.0552000,,2022-10-10,2017-07,2022-10-10
